n,positives,auc_pr,auc_roc,f1,precision,recall,model,threshold,val_f1
649491,5900,0.7686080135736953,0.9555280519639422,0.7464098665315086,0.7440215560794881,0.7488135593220339,LightGBM,0.9327034862660986,0.3245240125030522
649491,5900,0.7667628283516886,0.9764437059971949,0.6373431533006001,0.5332040164308535,0.7920338983050847,XGBoost,0.8823199272155762,0.3648375848775226
649491,5900,0.7208003320123711,0.9802868065303818,0.7519692251328082,0.8180550019928259,0.6957627118644067,CatBoost,0.9663274914443846,0.2987442167873516
649491,5900,0.19291542780803447,0.955106767986585,0.19189347953788918,0.22716736207695873,0.16610169491525423,LogisticRegression,0.9674173715161696,0.28494016708012665
