top_percent,alerts,precision,recall_capture_rate,tp_captured,total_positives
0.001,649,0.9953775038520801,0.10949152542372881,646,5900
0.002,1298,0.9969183359013868,0.2193220338983051,1294,5900
0.005,3247,0.9408684939944564,0.5177966101694915,3055,5900
0.01,6494,0.6812442254388666,0.7498305084745762,4424,5900
0.02,12989,0.36554007236892755,0.8047457627118644,4748,5900
0.05,32474,0.15129026297961445,0.8327118644067797,4913,5900
