model,delta_auc_pr_random_minus_temporal,delta_auc_roc_random_minus_temporal,delta_f1_random_minus_temporal,delta_precision_random_minus_temporal,delta_recall_random_minus_temporal,relative_auc_pr_inflation,relative_f1_inflation,temporal_auc_pr,random_auc_pr,temporal_f1,random_f1
XGBoost,0.02271641942932856,0.014127480439687257,0.08042771491274603,0.24385450247126983,-0.12514500941619588,1.0296263963110497,1.1261921690006964,0.7667628283516886,0.7894792477810172,0.6373431533006001,0.7177708682133461
LightGBM,0.059401167111002184,0.035082511938844485,0.018288914103526954,0.09314471407647285,-0.04503578154425614,1.0772840850758405,1.0245025085058344,0.7686080135736953,0.8280091806846975,0.7464098665315086,0.7646987806350356
CatBoost,0.0408649664416596,0.007775374009538316,-0.0316731226893231,2.1843324952919296e-05,-0.0566478342749529,1.0555815766813446,0.9571221898100394,0.7352250310555791,0.7760899974972387,0.7386833084292872,0.7070101857399641
