addr,side,group,btcblack_found,btcblack_latency_ms,block_height
bc1qqng2s7f69f0ztrkm3aw8h8d7c4u6hr0pvj24ck,input,target_blocks,False,75.3,
bc1qj0984c2wztxvnqcqu5ufrxu7me3nylzz4rlrws,input,target_blocks,False,21.8,
bc1q62zpzt3alfg7lgj59dl5nnsld72lmca52zxrd8,input,target_blocks,False,23.9,
bc1q8vgd82nd78ndj54qukmv6qggw4scgd6qz2eum7,input,target_blocks,False,27.3,
bc1qjtxysazsha27sgs4dfvtkn5z2xmtkff625swh9,input,target_blocks,False,136.3,
bc1q92090vuh3yxfymtrfxq3gjnfwt76msxtuh006r,input,target_blocks,False,23.3,
bc1qam0aheeakyth8h9jt6shykvjggk8euylqr9jrs,input,target_blocks,False,24.1,
bc1qdc7zxea4rrflhmms74vwvkzve5u8y8ksczmck4,input,target_blocks,False,89.3,
bc1qd9zv708ewm0kg070ppx37d9h4rnj3put0c49aa,input,target_blocks,False,149.2,
bc1qguqd4wfvlmknuy8u02qmntqskepzyjdd44vjpa,input,target_blocks,False,92.2,
bc1q6pm94akcga6sz759phckdd4v8cst7tznl9x0pq,input,target_blocks,False,25.4,
bc1qf7p7z2caneumsueytsqggd0pcxrh4a27fcu09p,input,target_blocks,False,92.0,
bc1qpkp9q6chv4n977kvwrcpjvq2e02ttkqakrerlg,input,target_blocks,False,92.3,
bc1q7mg7u0sgnl36qd8sxvc8l5h6wp37xrkvlrgnvp,input,target_blocks,False,132.2,
bc1qafc23gaejew0pxnskz9aesxzew47l5mah66vxj,input,target_blocks,False,89.3,
bc1qfwl64mqyw5tjekp6u5lcrmmf39u9ldjpy8qtvd,input,target_blocks,False,23.6,
bc1qm8xt3353xyjlg7stm5qxk6wjqaa9vhmklfwvrp,input,target_blocks,False,23.8,
bc1qaem7flehk2s0qu45chlnwzs3090r5hj22ngn00,input,target_blocks,False,26.3,
bc1q9e5y650c5xmp95ggj2lm48cufy5xcaxzcvj5f9,input,target_blocks,False,23.9,
bc1qf6rlwpv5e93q3cvpc6yz7rmpql4rqwn2vczzgn,input,target_blocks,False,25.5,
bc1qdxqpn7tv9xxzax8h5u6ah6xzkv9l8zsdm5nvwq,input,target_blocks,False,23.3,
bc1qynjyuq54vhvyq359qn76n8terqgxanfzs8tt2u,input,target_blocks,False,24.3,
bc1qesg8wy8tl05gyfvx7a4walcgvd7zwenmfzf6s3,input,target_blocks,False,89.0,
bc1qvlynjywfgzqcp6p0se5230ez2la626z0p347pn,input,target_blocks,False,24.3,
bc1qhe88g80tsewmtk58gtp2l5clnsraak9hxrsc3a,input,target_blocks,False,22.4,
bc1qld45jcahn4vjmcw42qzucf7n6my7fr5t82n630,input,target_blocks,False,26.6,
bc1qec2hzn57prvlm5l79vdvfk73mxutw29k3gkahu,input,target_blocks,False,23.3,
bc1qgwlz8063q4wuenlmxcx3mntuqmug5kp6jm8gg9,input,target_blocks,False,24.0,
bc1p57jw3w3h7f0wfdlvlcl5xevcuqpxk58w04k4trkxupag4mwrmp7s0lrk83,input,target_blocks,False,88.4,
bc1pand98dhm6cdf9e8xxvl0ep7rnv2yjzjjttz07az5epjjrskdgfjqwv473q,input,target_blocks,False,24.0,
bc1qkmjhc80n3gxjmd49sch50gs4ys8kedmryvfprm,input,target_blocks,False,90.1,
bc1q6hgun0cdud5epzpc24q7vncgtfst3szyt5gszs,input,target_blocks,False,54.9,
bc1qcd4su8tu3exz73tlnkjqz6p54xlsa0wuxmmy00,input,target_blocks,False,142.5,
bc1qsggvluasczm7ynmznlrq6hxzvyddwualw0dl0l,input,target_blocks,False,23.6,
bc1q7n05d8mqlc6py2etqmxsxs8j69hpced6je2s7j,input,target_blocks,False,24.6,
bc1qcd3xm4ssqvn3qphudccg4fgv05qnzpa0kg3700,input,target_blocks,False,22.5,
bc1qcappr2fjlnrmta6gzuvwvlqxcv0r2nnlg3qp7a,input,target_blocks,False,24.6,
bc1qhgmc4k70ucvv9p6dk6rdtteexfgnrd6a5gma00,input,target_blocks,False,24.8,
bc1qlc5qmg0ursd0t3lv7w6a0du3fh2pfj6s74ezq7,input,target_blocks,False,23.9,
bc1qrdcu6jypr54k50jkja7dl86w8dlftsu63ehmd3,input,target_blocks,False,23.5,
bc1qyrnfgw8ctdle4cgqm6c264qfp2v6scvkafah4h,input,target_blocks,False,22.8,
bc1qqh6ch58znu3qmcpcrlg5r2slcl4dgdzjrm83vq,input,target_blocks,False,22.5,
bc1pchleug6er4hg477jlwy3377nxfncfu94x758st6cy2ssk45a3c2seek9l6,input,target_blocks,False,23.9,
bc1pqxhh7kstha7fea4dhc3yv79pnwf2psx96nd7c3zs9duaac7veksqqfzcgc,input,target_blocks,False,89.8,
bc1qy8733ta0x88y22jsuxwxq7sfxdfxrnvhtpk7jl,input,target_blocks,False,24.3,
bc1qj3w3w57mzlx8m6vd5y0m7d70qpsucmm74jxza2,input,target_blocks,False,89.7,
bc1qk0u2m6mer7qh4j7xe2vy0q4d6e6jd5mkyr86hc,input,target_blocks,False,23.4,
bc1qgl7fynx75shl67lprhndqfaj42sv7n9d6kdvy4,input,target_blocks,False,26.0,
bc1pjy7rc5v6r36t03j89w2qmqaaq5m94rytgttqg2mv59mdj508gnrqmgvhef,input,target_blocks,False,22.6,
bc1qq9jkvxp55kveepuzhef63f0uek9y2u3st3q80q,input,target_blocks,False,22.9,
bc1padxc3vwac53l24pru4hx66wmuu8t7krzvqfkrasu557xkchru5ksjgftsk,input,target_blocks,False,24.3,
bc1q5au5pysevn79vxy9fggfml38y2kwxcgs00qwlc,input,target_blocks,False,22.7,
bc1q9pf5nqll7uj9alvr2vtmcae52zevgfxg605ggq,input,target_blocks,False,90.4,
bc1puj0fmx25gw93chq348t6lruvweud27trzvqutaxd7v0tlhtxnlvqxyj882,input,target_blocks,False,24.4,
bc1q28c0ta6cjyvwqgxwpu299f2jjaf98hly2f0mql,input,target_blocks,False,23.6,
bc1qqz2j9z7x99y5y80q6phjrasn9d237c8tygmtcx,input,target_blocks,False,69.6,
bc1q4tvaecqqzgyyscdqwwsfcdn7c5tuvhjn5hsfmm,input,target_blocks,False,89.1,
bc1qf96du30gemuxpec62hv6ds94gm7p6ulvgh7tll,input,target_blocks,False,25.1,
bc1qtthwf9pr64faepx5lq8kyypsrg0qdc6gn0gerz,input,target_blocks,False,24.3,
bc1qj42f00phuh8yn5r65ugfd3qf55nj67fwanqlrc,input,target_blocks,False,88.9,
bc1qg5l02dut3wca2206kyxvhjz3r7zmh59xudjdnc,input,target_blocks,False,88.1,
bc1q4ef3j29a2krrhwgtvz8d0emherrkqq68j7ht59,input,target_blocks,False,22.4,
bc1q33cx20gurv6ylvfvlr57w9pc8cdxxker4fzaxf,input,target_blocks,False,24.8,
bc1pa2h6lda6v0jlj4kqh5kdsvyxkdx23ldth289z2lys33t6khdpltq38xkqk,input,target_blocks,False,25.6,
bc1qy08rz2myg86jdvhj66zzeac6q2fxdj8n0j08xw,input,target_blocks,False,26.4,
bc1qpjd33hqj8py424ghvz9hhpcvjdnrjn4xd7aa2l,input,target_blocks,False,87.9,
bc1pa5mcaeww9ae6mj3gdfhgmpry4p7sx30ly968hmw5s9eqfnz98yhqtsx3f3,input,target_blocks,False,23.2,
bc1q3sky3glu7udn94jp4e9uj2hh638phvxzkpn4ry,input,target_blocks,False,24.4,
bc1qca52we7uyap9g9w0f5wjzytkg4m36sa9zxxugm,input,target_blocks,False,87.5,
bc1qy0khqljkyt8adhmv9e7hvag7vjt8rra7pxhq45,input,target_blocks,False,89.4,
bc1qzeqcrgjzzqx6gt84nj0yh97pq4anncqzjsr57y,input,target_blocks,False,23.6,
bc1pwy2ytcxdjs82lat69ugr3xftw33nqrzv0gmpa5cp0g7q8rw0n3ns2c9eas,input,target_blocks,False,22.3,
bc1qfmv0pf625yz6lmg7ux899fqd0zpshztufnkytj,input,target_blocks,False,27.8,
bc1qdn2n8e3s76umksknwgrn0cr8hdwt8cx6qv3dty,input,target_blocks,False,23.9,
bc1qg2kx2xa97k4fm5hteyn7ktwwexa8nfwnmc0yva,input,target_blocks,False,22.3,
bc1qdwuup5qjdfme96zhpplztpgfy4zseyy9jvl5gf,input,target_blocks,False,24.0,
bc1q732gl6qeuwtvtekeqyvkunpmllw7phtta2yh00,input,target_blocks,False,27.1,
bc1qhmm54ms5lzy0hsn8qt3kumfuzyurw70zvf09te,input,target_blocks,False,23.5,
bc1qdfratczjvw2j873u2whwtpdj0uf4cfzc2v9xxk,input,target_blocks,False,22.9,
bc1q2s8l00aunq9teqt8ttjtnzn5x5z6w33tj7u5hq,input,target_blocks,False,23.1,
bc1qr8xtugc47a3sd9nq8eecscqje3nd566rffznu2,input,target_blocks,False,88.2,
bc1qeef6k87562l95eey7s7cxpuyatmqz792dz4sat,input,target_blocks,False,23.9,
bc1prhwq5exc6v928wghz50gtvsyezlavzz2y2rqffyzk07ae67k4hpq7yjdfu,input,target_blocks,False,23.1,
