region,n,positives,positive_rate,auc_pr,auc_roc,f1,precision,recall,tp,fp,tn,fn,threshold
overall,649491,5900,0.009084036576334392,0.7332792621277812,0.9790489818923582,0.7393462262536369,0.7466297960594539,0.7322033898305085,4320,1466,642125,1580,0.9507533985077975
fraud_exposed,27260,5735,0.21038151137197358,0.854854032154064,0.9018377163270949,0.8290664100096247,0.9252416756176155,0.7510026155187446,4307,348,21177,1428,0.9507533985077975
history_exposed,109575,135,0.0012320328542094457,0.007363980921461349,0.7980734243014944,0.028792912513842746,0.016927083333333332,0.0962962962962963,13,755,108685,122,0.9507533985077975
isolated,512656,30,5.85187728223214e-05,0.00028747723846351994,0.8406595971852124,0.0,0.0,0.0,0,363,512263,30,0.9507533985077975
exposed_any,136835,5870,0.04289838126210399,0.7651855765425183,0.9467339876689164,0.7650757106171965,0.7966070440715471,0.7359454855195912,4320,1103,129862,1550,0.9507533985077975
isolated,512656,30,5.85187728223214e-05,0.00028747723846351994,0.8406595971852124,0.0,0.0,0.0,0,363,512263,30,0.9507533985077975
