snapshot_id,n_tx,positives,mean_original_ratio,mean_recomputed_ratio,max_abs_diff_ratio,mean_abs_diff_ratio,max_abs_diff_count,mean_abs_diff_count,nonzero_diff_ratio,nonzero_diff_count,exact_match_rows,exact_match_rate
D1,257784,959,0.0,0.0,0.0,0.0,0.0,0.0,0,0,257784,1.0
D2,216088,1850,0.14646451347426728,0.13919785461557954,0.16666666666666669,0.021058773285363847,4.0,0.11479119617933435,30787,24473,181746,0.8410740068860835
D3,320987,1226,0.11354035215865294,0.11181920228668094,0.17142857142857149,0.015642769068663975,5.0,0.07634888640349921,33243,24118,282647,0.8805559103639711
D4,242722,1755,0.1748370108145995,0.16367896960976425,0.17142857142857149,0.020643322806204487,6.0,0.14606834155947956,35424,34696,199527,0.8220392053460337
D5,296891,1668,0.20222245465329486,0.20070100678955222,0.16666666666666669,0.025911724524334857,13.0,0.14840126511076457,50475,43482,230832,0.7774974653997595
D6,352600,4232,0.10417972176984237,0.09834814386269129,0.17142857142857149,0.011649648074277943,5.0,0.07677538287010777,27778,26791,319120,0.9050482132728304
