split_type,model,n_train,n_val,n_test,train_positive_rate,val_positive_rate,test_positive_rate,auc_pr,auc_roc,f1,precision,recall,threshold,tp,fp,tn,fn,val_f1
temporal,XGBoost,794859,242722,649491,0.0050763720357950275,0.007230494145565709,0.009084036576334392,0.7667628283516886,0.9764437059971949,0.6373431533006001,0.5332040164308535,0.7920338983050847,0.8823199272155762,4673,4091,639500,1227,0.3648375848775226
temporal,LightGBM,794859,242722,649491,0.0050763720357950275,0.007230494145565709,0.009084036576334392,0.7686080135736953,0.9555280519639422,0.7464098665315086,0.7440215560794881,0.7488135593220339,0.9327034862660986,4418,1520,642071,1482,0.3245240125030522
temporal,CatBoost,794859,242722,649491,0.0050763720357950275,0.007230494145565709,0.009084036576334392,0.7352250310555791,0.9828746019849589,0.7386833084292872,0.7672083257257623,0.7122033898305085,0.9591287542967705,4202,1275,642316,1698,0.2853821563493985
random,XGBoost,794859,242722,649491,0.006929530897932841,0.006929738548627648,0.006928502473475383,0.7894792477810172,0.9905711864368821,0.7177708682133461,0.7770585189021233,0.6668888888888889,0.9776437878608704,3001,861,644130,1499,0.7285486443376207
random,LightGBM,794859,242722,649491,0.006929530897932841,0.006929738548627648,0.006928502473475383,0.8280091806846975,0.9906105639027867,0.7646987806350356,0.8371662701559609,0.7037777777777777,0.9797925717003443,3167,616,644375,1333,0.7772054088855304
random,CatBoost,794859,242722,649491,0.006929530897932841,0.006929738548627648,0.006928502473475383,0.7760899974972387,0.9906499759944972,0.7070101857399641,0.7672301690507152,0.6555555555555556,0.9770949594785516,2950,895,644096,1550,0.7218141168950634
