experiment,model,train_snapshots,val_snapshots,test_snapshots,n_train,n_val,n_test,train_positive_rate,val_positive_rate,test_positive_rate,test_positives,auc_pr,auc_roc,f1,precision,recall,brier,tp,fp,tn,fn,threshold,val_f1,scale_pos_weight,description
short_horizon_D1_to_D3,LightGBM,D1,D2,D3,257784,216088,320987,0.0037201688235111567,0.00856132686683203,0.0038194693243028535,1226,0.07126952606706685,0.9079319286963576,0.07673267326732673,0.15897435897435896,0.05057096247960848,0.0053182950417744205,62,328,319433,1164,0.8547824895483769,0.13890037205420822,267.80500521376433,"Train on January, validate on February, test on April"
medium_horizon_D1D2_to_D4,LightGBM,D1+D2,D3,D4,473872,320987,242722,0.005927761083161697,0.0038194693243028535,0.007230494145565709,1755,0.22062455448890184,0.9138157183088647,0.1883148237566393,0.6170886075949367,0.1111111111111111,0.019982460046110328,195,121,240846,1560,0.9897093595521259,0.7365299060796016,167.69775720897115,"Train on January-February, validate on April, test on May"
long_horizon_D1D2D3_to_D5D6,LightGBM,D1+D2+D3,D4,D5+D6,794859,242722,649491,0.0050763720357950275,0.007230494145565709,0.009084036576334392,5900,0.7656548117551316,0.964346939704232,0.7557251908396947,0.7739872068230277,0.7383050847457627,0.011941136517938294,4356,1272,642319,1544,0.947219884941718,0.3263417643425016,195.9910780669145,"Train on January-February-April, validate on May, test on July-September"
