feature_set,model,delta_auc_pr_clean_minus_full,delta_auc_roc_clean_minus_full,delta_f1_clean_minus_full,delta_precision_clean_minus_full,delta_recall_clean_minus_full,full_auc_pr,clean_auc_pr,full_f1,clean_f1
15_features_with_memory,XGBoost,-0.0021500113581748304,-0.000558528292401661,-0.00182675669655874,-0.002158499903130884,-0.0011390073756178953,0.7380108154595904,0.7358608041014155,0.6637077997671711,0.6618810430706124
15_features_with_memory,LightGBM,-0.001647641820075929,-0.0008132483035424576,-0.0015064271778952865,-0.0016018200035434749,-0.001418018284119138,0.7656548117551316,0.7640071699350557,0.7557251908396947,0.7542187636617994
15_features_with_memory,CatBoost,-0.0014951865311292334,-0.0004858668883788164,-0.0014419571721362434,-0.0015932234366743403,-0.0012961627674639153,0.7332792621277812,0.7317840755966519,0.7393462262536369,0.7379042690815006
13_features_without_memory,XGBoost,-0.002316898737490025,-0.0008434377013210037,-0.0019570417855970523,-0.0049050063765082585,-0.0012118368966226312,0.3446324271355193,0.34231552839802926,0.17435607132748374,0.17239902954188668
13_features_without_memory,LightGBM,-0.0010245281284745889,-0.0012158359716005762,0.0004550413008122811,-0.000567996140738547,0.0003374482736652473,0.3212976086061546,0.32027308047768,0.14304142181453347,0.14349646311534575
13_features_without_memory,CatBoost,-0.0022565544973728313,-0.0005537965451591909,-0.002094822572955124,-0.0024222121286509024,-0.0015316207536624216,0.631621281111251,0.6293647266138782,0.6280478570346812,0.6259530344617261
