model,region,n,positives,precision,recall,f1,auc_pr,auc_roc
Naive_lookup_baseline,fraud_exposed,27260,5735,0.21038151137197358,1.0,0.34762842854978027,,
XGBoost,fraud_exposed,27260,5735,0.7891075670173058,0.8109851787271142,0.7998968096998882,0.8606529340922744,0.8957823580577318
LightGBM,fraud_exposed,27260,5735,0.8964046313223644,0.769485614646905,0.8281103396509664,0.8564680629184382,0.8754761469348409
CatBoost,fraud_exposed,27260,5735,0.9498956158663883,0.7140366172624237,0.8152498506868405,0.8520348278932564,0.9065717748770463
LogisticRegression,fraud_exposed,27260,5735,0.6659604519774012,0.16442894507410635,0.2637393371556426,0.5776020151148245,0.8488954531692533
