metric,mean,std,ci_lower_2_5,ci_upper_97_5,n_boot_valid
auc_pr,0.7639686310994848,0.005458761799040948,0.7535271285603318,0.7738555610158149,500
auc_roc,0.965495135909776,0.0011818052197595668,0.9631958252850772,0.967622188142488,500
f1,0.7506399482184891,0.004603976278575964,0.7416310032580293,0.7591563850402303,500
precision,0.7657011068902109,0.00573677107048642,0.7550841938294482,0.7767628761847223,500
recall,0.7361922307049806,0.005876169463599053,0.7247226178917033,0.7463867044166165,500
brier,0.012339475356681565,0.00010359937593511092,0.01213416466001324,0.012538259552988672,500
